8188fu-dkms-git r13.586d795-1
a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.1-3
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-sans-fonts 3.052-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
afpfs-ng 0.8.2-3
aha 0.5.1-2
aircrack-ng 1.7-3
akonadi 23.08.2-1
akonadi-calendar 23.08.2-1
akonadi-calendar-tools 23.08.2-1
akonadi-contacts 23.08.2-1
akonadi-import-wizard 23.08.2-1
akonadi-mime 23.08.2-1
akonadi-notes 23.08.2-1
akonadi-search 23.08.2-1
akonadiconsole 23.08.2-1
akregator 23.08.2-1
alacritty 0.12.3-1
alligator 23.08.2-2
alsa-card-profiles 1:0.3.83-1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
amtk 5.6.1-1
analitza 23.08.2-1
android-sdk-cmdline-tools-latest 9.0-1
android-sdk-platform-tools r33.0.0-1
angelfish 23.08.2-2
ani-cli 3.4-1
anki 2.1.60-1
ant 1.10.14-1
antlr4-runtime 4.13.1-1
aom 3.7.0-1
apache 2.4.58-1
apparmor 3.1.6-2
appstream 0.16.3-1
appstream-qt 0.16.3-1
apr 1.7.4-1
apr-util 1.6.3-1
arandr 0.1.11-2
archlinux-appstream-data 20231010-1
archlinux-keyring 20231026-1
argon2 20190702-5
aria2 1.36.0-1
arianna 23.08.2-2
ark 23.08.2-2
arp-scan 1.10.0-3
arpack 3.9.1-1
artikulate 23.08.2-1
asciidoc 10.2.0-3
asymptote 2.86-3
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attica5 5.111.0-1
attr 2.5.1-3
audiocd-kio 23.08.2-1
audiofile 0.3.6-8
audiotube 23.08.2-2
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r139+ge5b0bad-1
avogadro-crystals 1.0.1-1
avogadro-molecules 1.0.0-1
avogadrolibs 1.98.0-3
avogadrolibs-qt5 1.98.0-3
axel 2.17.11-2
ayatana-ido 0.10.1-1
babl 0.1.106-1
baloo-widgets 23.08.2-1
baloo5 5.111.0-1
baobab 45.0-1
base 3-2
base-devel 1-1
bash 5.2.015-5
bc 1.07.1-4
bcg729 1.1.1-1
betterdiscord-installer-bin 1.1.1-2
betterlockscreen 4.0.4-2
bind 9.18.19-1
binutils 2.41-3
bison 3.8.2-6
bitwarden 2023.9.2-1
black-hole-solver 1.12.0-1
blackarch-keyring 20140118-3
blas 3.11.0-3
blinken 23.08.2-1
bluedevil 1:5.27.9-1
bluez 5.70-1
bluez-libs 5.70-1
bluez-qt5 5.111.0-1
bluez-utils 5.70-1
bluto 1:142.25cad7a-1
bolt 0.9.6-1
bomber 23.08.2-1
boost 1.83.0-2
boost-libs 1.83.0-2
bovo 23.08.2-1
box2d 2.4.1-1
brave-nightly-bin 1.45.56-1
breeze 5.27.9-1
breeze-gtk 5.27.9-1
breeze-icons 5.111.0-1
breezy 3.3.4-1
brial 1.2.12-2
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brltty 6.6-2
brotli 1.1.0-1
bspwm 0.9.10-3
btrfs-progs 6.5.3-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.21.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.94-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairomm 1.14.5-1
calendarsupport 23.08.2-1
candy-icons-git r1011.6a35be5-1
cantarell-fonts 1:0.303.1-1
cantor 23.08.2-2
capstone 4.0.2-7
cblas 3.11.0-3
cddlib 1:0.94m-1
cdparanoia 10.2-8
celt 0.11.3-4
cervisia 23.08.2-1
cfitsio 1:4.3.0-1
cheese 44.1-2
cherrytree 1.0.2-1
chromaprint 1.5.1-7
chrpath 0.16-4
cifs-utils 7.0-3
clang 16.0.6-1
clinfo 3.0.21.02.21-1
cliquer 1.22-1
cloudflare-warp-bin 2023.3.398-1
clucene 2.3.3.4-14
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.27.7-2
cmark 0.30.3-1
code 1.83.1-1
cogl 1.22.8-2
colord 1.4.6-1
colord-gtk 0.3.0-2
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-kde 23.08.2-2
colord-sane 1.4.6-1
compiler-rt 16.0.6-2
confuse 3.3-3
conky 1.18.1-2
conky-manager 2.4-4
containerd 1.7.8-1
convertlit 1.8-11
coordgen 3.0.2-1
coreutils 9.4-2
cpio 2.14-1
cpu-checker-bzr r41-3
cracklib 2.9.11-1
cronie 1.7.0-4
cryptsetup 2.6.1-3
csvq-git 20230104.4054e8c-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
cups-pk-helper 0.2.7-1
curl 8.4.0-2
cython 3.0.4-1
dav1d 1.3.0-1
davinci-resolve 17.4.4-1
db 6.2.32-1
db5.3 5.3.28-4
dbeaver 23.2.2-1
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.0.0-1
debtap 3.5.1-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
dialog 1:1.3_20231002-1
diffutils 3.10-1
dirb 2.22-2
discord 0.0.32-1
discord-chat-exporter-cli 2.39.1-1
discount 3.0.0.a-1
discover 5.27.9-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dleyna 0.8.2-2
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsrecon 2:1.0.0-3
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docbook2x 0.8.8-18
docker 1:24.0.7-1
docker-compose 2.23.0-1
dolphin 23.08.2-1
dolphin-plugins 23.08.2-2
dosfstools 4.2-3
dotconf 1.3-7
dotnet-host 7.0.13.sdk113-1
dotnet-runtime 7.0.13.sdk113-1
dotnet-sdk 7.0.13.sdk113-1
dotnet-targeting-pack 7.0.13.sdk113-1
double-conversion 3.3.0-1
downgrade 11.3.0-1
doxygen 1.9.8-1
dpkg 1.22.0-1
dragon 23.08.2-1
drkonqi 5.27.9-1
dtc 1.7.0-4
duktape 2.7.0-6
dunst 1.9.2-1
dvisvgm 3.1.2-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
ecl 23.9.9-1
eclib 20230424-3
editorconfig-core-c 0.12.6-1
edk2-ovmf 202308-3
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
electron 1:25-1
electron14 14.2.9-2
electron16 16.2.8-1
electron17 17.4.11-6
electron18 18.3.6-1
electron19 19.1.9-5
electron21 21.4.4-1
electron9 9.4.4-5
elfutils 0.189-3
elisa 23.08.2-1
enchant 2.6.1-1
enum4linux 0.9.1-1
eog 45.1-1
eog-plugins 44.0-1
epiphany 45.0-1
ethtool 1:6.5-1
eventviews 23.08.2-1
evince 45.0-1
evolution-data-server 3.50.1-1
exempi 2.6.4-1
exiv2 0.28.0-3
expac 10-5
expat 2.5.0-1
exploitdb 20230722-1
extra-cmake-modules 5.111.0-1
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.1-1
falkon 23.08.2-1
farstream 0.2.9-3
faudio 23.10-1
feh 3.10.1-2
festival 2.5.0-5
ffcall 2.4-2
fflas-ffpack 2.5.0-1
ffmpeg 2:6.0-13
ffmpeg4.4 4.4.4-3
ffmpegthumbs 23.08.2-1
fftw 3.3.10-4
ffuf 206.0aa69b5-1
file 5.45-1
filelight 23.08.2-1
filesystem 2023.09.18-1
filezilla 3.66.0-1
findutils 4.9.0-3
firefox 119.0-1
firewalld 2.0.1-1
flac 1.4.3-1
flameshot 12.1.0-3
flatpak 1:1.15.4-1
flex 2.6.4-5
flint 3.0.0-3
flintqs 1:1.0-3
fltk 1.3.8-2
fluidsynth 2.3.4-1
fmt 10.1.1-1
folks 0.15.6-1
fontconfig 2:2.14.2-1
fplll 5.4.5-1
frameworkintegration5 5.111.0-1
freecell-solver 6.8.0-1
freeglut 3.4.0-1
freerdp 2:2.11.2-1
freetype2 2.13.2-1
frei0r-plugins 2.3.1-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
futuresql-qt5 0.1.1-2
fzf 0.43.0-1
gap 4.12.2-3
gavl 1.4.0-7
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-fortran 13.2.1-3
gcc-libs 13.2.1-3
gconf 3.2.6+11+g07808097-6
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gdm 45.0.1-1
gedit 46.1-1
gegl 0.4.46-2
gendesk 1.0.9-3
geoclue 2.7.1-1
geocode-glib 3.26.4-4
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geogebra-5 5.0.721.0-1
geoip 1.6.12-2
geoip-database 20230901-1
gettext 0.22.3-1
gf2x 1.3.0-2
gfan 0.6.2-2
gfbgraph 0.2.5-1
